ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,true_class
65,96,0,0,0,0,0,0,0,benign
1068,132,13,160,0,0,0,0,0,benign
535,127,255,127,255,127,255,127,255,benign
131,15,224,0,0,0,0,0,0,benign
936,1,0,39,16,0,0,0,0,benign
359,0,128,0,0,0,1,227,0,benign
369,16,108,0,0,0,0,0,0,benign
516,192,0,125,0,0,0,0,0,benign
609,0,0,9,0,0,0,0,0,benign
1071,125,4,0,2,113,0,0,0,benign
1085,20,0,0,0,0,0,0,0,benign
1086,0,55,16,0,0,0,0,0,benign
118,62,128,66,128,15,255,0,0,benign
119,255,255,15,255,127,255,255,255,benign
125,0,0,247,128,0,63,255,255,benign
531,255,255,8,127,47,7,255,80,benign
532,0,0,0,0,0,0,247,128,benign
534,0,0,0,0,195,0,0,0,benign
1045,0,0,52,242,15,255,15,255,benign
1200,255,0,128,0,128,0,40,242,benign
71,100,44,169,92,86,74,0,0,benign
357,16,65,0,0,0,0,0,0,benign
512,0,0,130,79,130,79,240,0,benign
514,28,253,0,0,64,0,0,0,benign
560,0,30,0,0,19,0,0,0,benign
1109,0,0,0,0,0,0,0,0,benign
578,255,255,32,0,214,0,0,1,benign
125,0,0,246,144,0,63,255,255,benign
532,0,0,0,0,0,0,246,144,benign
1045,0,0,56,241,15,255,15,255,benign
1200,255,0,128,0,144,0,40,241,benign
514,28,251,16,0,64,0,0,0,benign
1438,158,0,255,255,255,255,255,255,benign
806,1,160,3,255,1,208,0,200,benign
950,8,0,4,0,0,0,0,0,benign
951,0,0,3,0,0,0,0,0,benign
125,0,0,245,160,0,63,255,255,benign
532,0,0,0,0,0,0,245,160,benign
1045,0,0,60,240,15,255,15,255,benign
1200,255,0,128,0,160,0,40,240,benign
342,186,0,0,0,0,0,0,0,benign
358,122,32,0,0,0,106,0,0,benign
376,0,0,2,0,2,84,194,84,benign
377,1,227,8,0,146,4,0,0,benign
514,28,249,32,0,64,0,0,0,benign
610,0,0,0,0,0,0,0,0,benign
1057,6,0,21,0,0,0,0,0,benign
1069,0,3,255,0,0,0,240,0,benign
125,0,0,244,176,0,63,255,255,benign
532,0,0,0,0,0,0,244,176,benign
1045,0,0,0,255,15,255,15,255,benign
1200,255,0,128,0,176,0,40,239,benign
514,28,247,48,0,64,0,0,0,benign
1072,131,0,7,52,100,1,18,147,benign
1076,36,0,20,0,15,255,2,96,benign
1077,40,32,8,28,0,32,41,0,benign
125,0,0,243,192,0,63,255,255,benign
532,0,0,0,0,0,0,243,192,benign
1045,0,0,4,254,15,255,15,255,benign
1046,64,96,254,8,1,10,128,0,benign
1200,255,0,128,0,192,0,40,238,benign
514,28,245,64,0,64,0,0,0,benign
1034,193,0,255,255,255,255,255,255,benign
125,0,0,242,208,0,63,255,255,benign
532,0,0,0,0,0,0,242,208,benign
1045,0,0,8,253,15,255,15,255,benign
1200,255,0,128,0,208,0,40,237,benign
514,28,243,80,0,64,0,0,0,benign
1409,129,0,255,255,255,255,255,255,benign
938,0,34,32,0,0,0,0,0,benign
939,18,0,0,0,64,0,0,0,benign
125,0,0,241,224,0,63,255,255,benign
532,0,0,0,0,0,0,241,224,benign
1045,0,0,12,252,15,255,15,255,benign
1200,255,0,128,0,224,0,40,236,benign
514,28,241,96,0,64,0,0,0,benign
125,0,0,240,240,0,63,255,255,benign
532,0,0,0,0,0,0,240,240,benign
1045,0,0,16,251,15,255,15,255,benign
1200,255,0,128,0,240,0,40,235,benign
514,28,239,112,0,64,0,0,0,benign
125,0,0,255,0,0,63,255,255,benign
532,0,0,0,0,0,0,255,0,benign
1045,0,0,20,250,15,255,15,255,benign
1200,255,0,128,0,0,0,40,250,benign
1072,131,0,7,52,100,5,18,147,benign
1077,40,32,5,20,0,32,41,0,benign
125,0,0,254,16,0,63,255,255,benign
532,0,0,0,0,0,0,254,16,benign
1045,0,0,24,249,15,255,15,255,benign
1046,65,96,253,8,1,10,128,0,benign
1200,255,0,128,0,16,0,40,249,benign
125,0,0,253,32,0,63,255,255,benign
532,0,0,0,0,0,0,253,32,benign
1045,0,0,28,248,15,255,15,255,benign
1200,255,0,128,0,32,0,40,248,benign
132,0,0,0,76,15,52,12,0,benign
125,0,0,252,48,0,63,255,255,benign
532,0,0,0,0,0,0,252,48,benign
1045,0,0,32,247,15,255,15,255,benign
1200,255,0,128,0,48,0,40,247,benign
125,0,0,251,64,0,63,255,255,benign
532,0,0,0,0,0,0,251,64,benign
862,0,192,0,20,160,104,0,0,benign
1045,0,0,36,246,15,255,15,255,benign
1200,255,0,128,0,64,0,40,246,benign
125,0,0,250,80,0,63,255,255,benign
532,0,0,0,0,0,0,250,80,benign
1045,0,0,40,245,15,255,15,255,benign
1200,255,0,128,0,80,0,40,245,benign
1072,135,0,7,52,100,1,22,147,benign
125,0,0,249,96,0,63,255,255,benign
532,0,0,0,0,0,0,249,96,benign
1045,0,0,44,244,15,255,15,255,benign
1046,66,96,252,8,1,10,128,0,benign
1200,255,0,128,0,96,0,40,244,benign
909,32,0,0,0,0,0,0,0,benign
950,8,0,5,0,0,0,0,0,benign
951,0,0,0,0,0,0,0,0,benign
952,255,255,255,255,0,0,0,0,benign
995,0,0,4,19,128,0,0,0,benign
1003,0,4,20,0,0,16,0,0,benign
1034,193,1,255,255,255,255,255,255,benign
1084,50,0,0,44,0,153,136,20,benign
1095,33,0,0,75,0,0,0,0,benign
125,0,0,248,112,0,63,255,255,benign
532,0,0,0,0,0,0,248,112,benign
1045,0,0,48,243,15,255,15,255,benign
1200,255,0,128,0,112,0,40,243,benign
948,20,17,17,255,255,255,0,0,benign
949,255,253,255,253,255,253,255,253,benign
817,192,0,228,137,10,0,0,2,benign
1077,40,32,0,20,0,32,41,0,benign
967,0,0,0,0,0,0,0,0,benign
1046,67,96,251,8,1,10,128,0,benign
947,65,136,0,18,230,0,3,50,benign
963,64,0,16,193,0,0,129,0,benign
1046,68,96,250,8,1,10,128,0,benign
1034,193,2,255,255,255,255,255,255,benign
986,0,0,0,0,0,0,0,0,benign
994,0,0,0,0,128,0,0,0,benign
1002,0,0,0,0,0,0,96,0,benign
950,8,0,6,0,0,0,0,0,benign
951,0,0,1,0,0,0,0,0,benign
1076,36,0,20,0,15,255,2,100,benign
1077,124,112,0,84,0,36,41,0,benign
1046,69,96,249,8,1,10,128,0,benign
968,0,0,0,0,0,0,0,0,benign
992,0,0,0,0,128,0,0,0,benign
1125,255,252,255,252,255,254,255,252,benign
1126,0,76,236,248,96,32,32,0,benign
1127,0,255,224,255,254,254,240,240,benign
1046,70,96,248,8,1,10,128,0,benign
1034,193,4,255,255,255,255,255,255,benign
1046,71,96,247,8,1,10,128,0,benign
950,8,0,7,0,0,0,0,0,benign
951,0,0,2,0,0,0,0,0,benign
1046,72,96,246,8,1,10,128,0,benign
1034,193,16,255,255,255,255,255,0,benign
942,0,0,0,0,0,0,0,0,benign
753,0,0,81,16,0,254,1,0,benign
902,0,0,0,0,0,0,0,0,benign
1081,0,0,0,0,0,0,0,0,benign
1046,73,96,245,8,1,10,128,0,benign
950,8,0,8,0,0,0,0,0,benign
1046,74,96,244,8,1,10,128,0,benign
1034,192,0,0,5,13,254,242,0,benign
1046,75,96,243,8,1,10,128,0,benign
