ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,true_class
208,122,114,4,100,41,255,193,0,max-speedometer
208,106,68,4,100,58,255,177,0,max-speedometer
208,50,81,12,96,119,2,125,0,reverse-light-on
208,74,68,12,102,102,5,136,0,reverse-light-on
1408,0,0,0,4,247,7,237,80,benign
208,122,114,4,96,146,255,88,0,max-speedometer
167,0,81,68,40,113,21,0,160,benign
1760,16,62,16,58,16,65,16,66,benign
1694,4,64,4,99,32,160,21,2,benign
208,26,82,12,100,243,3,3,0,reverse-light-on
1760,8,73,8,63,8,69,8,68,benign
208,90,85,12,100,52,5,184,0,reverse-light-on
186,6,152,13,132,16,0,13,0,benign
208,50,63,4,100,195,255,46,0,max-speedometer
14,32,83,22,2,8,9,120,182,benign
1076,4,74,160,168,148,243,204,224,benign
167,0,80,252,41,81,27,0,160,benign
208,58,114,4,100,247,255,250,0,max-speedometer
208,66,109,12,96,208,2,34,0,reverse-light-on
1590,36,136,98,192,240,141,192,0,benign
208,18,74,12,98,96,5,149,0,reverse-light-on
1760,26,174,26,190,26,197,26,223,benign
167,0,16,249,164,177,28,224,160,benign
1072,0,150,71,60,82,128,18,160,benign
208,58,114,4,100,118,255,121,0,max-speedometer
354,0,8,1,35,234,17,244,206,benign
1076,3,42,160,175,96,245,51,160,benign
14,32,83,150,2,8,9,117,102,benign
14,32,85,214,2,8,9,113,142,benign
1634,77,0,0,0,64,0,0,0,benign
1760,26,46,26,43,26,89,26,70,benign
208,106,117,12,100,178,5,56,0,reverse-light-on
208,18,68,4,96,201,255,44,0,max-speedometer
412,12,134,32,13,130,0,41,32,benign
1505,137,47,32,11,9,255,116,128,benign
208,42,79,12,102,91,2,154,0,reverse-light-on
1634,74,0,0,0,64,0,0,0,benign
1760,25,42,25,15,25,38,25,38,benign
526,78,31,235,175,153,63,240,47,benign
208,10,118,4,96,105,13,133,209,benign
208,82,80,12,98,150,3,89,0,reverse-light-on
14,32,97,86,2,8,9,118,112,benign
208,82,81,12,98,144,3,95,0,reverse-light-on
293,144,0,67,159,69,251,17,96,benign
208,66,114,4,100,159,255,79,0,max-speedometer
208,18,80,12,100,50,3,197,0,reverse-light-on
14,32,96,150,2,8,9,119,34,benign
208,18,62,12,98,132,5,113,0,reverse-light-on
208,106,80,12,102,180,2,57,0,reverse-light-on
1176,132,0,32,0,137,130,26,66,benign
208,50,72,4,102,59,255,182,0,max-speedometer
412,0,194,32,7,130,0,41,224,benign
208,122,121,4,96,217,11,9,0,benign
208,10,79,12,98,139,2,110,0,reverse-light-on
293,144,0,67,223,69,250,241,96,benign
208,2,80,12,96,83,3,166,0,reverse-light-on
167,0,81,36,41,81,25,128,160,benign
628,0,242,22,246,48,124,141,205,benign
526,78,32,3,161,45,191,239,255,benign
14,32,99,22,2,8,9,115,92,benign
1760,4,87,4,80,4,87,4,84,benign
852,31,234,64,0,0,6,86,128,benign
208,66,115,4,96,133,255,108,0,max-speedometer
208,42,115,4,96,191,255,52,0,max-speedometer
1372,16,167,0,0,17,34,48,10,benign
852,33,11,0,0,0,2,60,0,benign
208,58,71,12,102,59,5,181,0,reverse-light-on
412,8,134,32,14,2,0,41,224,benign
722,0,0,64,51,208,0,1,0,benign
167,0,16,250,168,81,39,224,160,benign
